Municipality,Establishment Count,Terminal Count,Amount Played,Amount Won,Nti Tax,State Share,Municipality Share,Population
New Minden,2,10,1517129.9,1376826.48,44348.9,37333.66,7015.24,163
Mulberry Grove,2,9,758597.54,703655.69,17107.53,14360.39,2747.14,592
Ramsey,3,13,4469384.23,4064208.48,128877.41,108618.56,20258.85,"1,063"
Lostant,1,5,427549.01,383268.04,14612.73,12398.68,2214.05,472
Beecher,9,40,17486956.17,16031246.12,458363.9,385577.8,72786.1,"4,382"
McNabb,1,4,810035.73,750389.65,18097.85,15220.6,2877.25,283
Sigel,1,5,1854340.29,1719059.41,42638.02,35873.94,6764.08,399
Machesney Park,15,73,57057691.84,52441924.83,1448726.87,1217937.88,230788.99,"22,906"
Sheldon,2,8,2331896.75,2151697.14,56576.12,47565.61,9010.51,"1,305"
Evansville,3,13,3412641.96,3153645.1,81979.91,69029.9,12950.01,715
Beardstown,12,55,25491660.15,23359348.52,672647.33,566028.88,106618.45,"5,902"
Homewood,7,35,20804951.31,19079470.35,544719.35,458434.0,86285.35,"19,592"
Petersburg,5,22,11925116.41,10991371.57,294424.1,247737.61,46686.49,"2,346"
Farmersville,3,13,9087916.66,8394930.75,218635.57,183983.66,34651.91,667
Forest View,3,15,27817572.97,25683450.86,672176.01,565444.1,106731.91,892
Green Oaks,2,8,9640076.88,8880424.84,238874.89,200870.46,38004.43,"3,851"
Beckemeyer,2,10,7267220.3,6700482.74,178845.53,150507.88,28337.65,"1,024"
Sycamore,16,74,36475899.79,33346581.98,984291.73,827821.97,156469.76,"17,725"
Hopkins Park,1,5,1364529.4,1244199.51,38321.5,32304.97,6016.53,426
Mineral,1,5,2544192.75,2317252.43,71281.82,59934.74,11347.08,231
Forrest,2,8,1747139.71,1606201.54,44399.65,37352.71,7046.94,"1,109"
Poplar Grove,9,41,21243654.05,19551550.77,533828.21,449222.39,84605.82,"4,757"
Lovington,2,10,2777536.8,2566713.53,66379.16,55837.15,10542.01,"1,117"
Roberts,3,11,1996174.65,1825195.12,53928.95,45379.91,8549.04,446
Lemont,23,107,64771748.51,59728632.3,1589295.26,1337134.19,252161.07,"16,935"
South Elgin,19,92,75835425.7,69406320.99,2025967.26,1704506.34,321460.92,"22,522"
Gifford,2,10,4820821.54,4465553.8,112292.08,94516.07,17776.01,900
Lawrenceville,12,57,16299204.52,15055959.95,392338.78,330173.84,62164.94,"4,417"
Damiansville,1,5,1104627.5,1019479.0,26846.72,22589.3,4257.42,587
Ludlow,1,3,1883427.19,1757512.63,39565.43,33269.7,6295.73,382
Quincy,77,243,138753302.16,126719402.75,3790889.68,3189181.5,601708.18,"40,428"
Breese,11,47,15550434.1,14264679.98,405171.54,340882.73,64288.81,"4,453"
Okawville,7,28,11875786.52,10923715.3,299427.8,251824.44,47603.36,"1,569"
Lake Villa,14,61,33460602.16,30737452.9,858084.4,721923.91,136160.49,"8,762"
